round,label,gr,exit_lag_rate,N_max,shape,aicc,loss,n_timepoints,converged,gr_loglin,gr_loglin_se,gr_max_sliding,t_exp_start,t_exp_end,doubling_time,R_squared,loglin_converged
5,Curve10453,0.3994189166317885,3.302871969037089e-05,1.2370771817055044,2.5036834494365445,-489.8226743897809,0.0018144790753888,92,True,0.3793075715975321,0.0050564495588807405,0.38645374119724846,29.0,32.5,1.8274013820515445,0.9989348843535361,True
5,Curve09212,0.391589052810951,0.0001508117370985,1.1995051827673755,2.3935966403837803,-425.9663554062009,0.0018304927388796,92,True,0.35515753235014397,0.005915760761812658,0.36432818414923407,26.0,29.5,1.951661213471274,0.9983380879529826,True
5,Curve09378,0.4617141902329937,0.0002660771232655,1.247868832961747,2.4051442174269493,-354.5877028309092,0.0015091495796032,87,True,0.38967096178208366,0.00524432257649772,0.3977674570227287,21.5,25.0,1.7788012157487247,0.9989144189844475,True
5,Curve10782,0.3767102902481637,6.402301050148505e-05,1.2969311004670174,2.950768599972692,-544.5031887726856,0.000756853365149,90,True,0.33378931779495125,0.007854835301404274,0.34556173332966306,29.5,33.0,2.076600848520113,0.9966883842001661,True
5,Curve09959,0.3405697933615101,8.829828333957191e-05,1.246686130601793,4.338048737588712,-459.92795679717,0.002649080404114,92,True,0.3423162359109988,0.004526420118526781,0.34871530698649034,30.0,33.5,2.024873809199519,0.9989520257609552,True
5,Curve10536,0.1998939567646234,0.0009906343323737,1.070176378020026,13.347829035894442,-522.2174085751964,0.001204107332272,92,True,0.2447345897672737,0.007111731238098874,0.25538225227231676,37.5,41.0,2.8322403515542374,0.9949590034756879,True
5,Curve09127,0.2883230411172491,9.987172359124216e-05,1.3830185009300529,4.640891954817717,-465.67457596568414,0.0024632227355363,92,True,0.3762706814614953,0.00847268290450958,0.38958939098374534,34.5,38.0,1.8421503845785996,0.9969669946435491,True
5,Curve11108,0.4109996148242809,2.553791769273487e-05,1.3180618938992277,2.3118121455942564,-515.1574642971417,0.0012091583512824,91,True,0.35812755171774907,0.005389840390670623,0.36669930196778366,29.5,33.0,1.9354757187356395,0.9986428189859147,True
5,Curve09721,0.2961992546593793,0.000307731059066,1.261326799242798,2.325793211588872,-616.6867591954968,0.000533669033561,96,True,0.26032079188610374,0.005871830020304723,0.2690500818787293,31.5,35.0,2.662665458021551,0.9969566160442783,True
5,Curve09795,0.5056009302780391,0.0004876383297743,1.2851063083901964,1.5842625344893342,-343.8970534990512,0.0012764739111175,96,True,0.39338772406447486,0.009893205398173087,0.41790170869281584,19.0,23.0,1.761994943305198,0.9955923001372669,True
5,Curve10700,0.3913397694236481,5.126706282967167e-05,1.3285676893445095,2.817118203480572,-478.5981395782842,0.0017812653459541,90,True,0.38289490350224925,0.005015950260342451,0.3907065513985074,28.5,32.0,1.8102805083585385,0.9989713880369069,True
5,Curve10701,,,,,,,0,False,,,,,,,,
5,Curve10702,,,,,,,0,False,,,,,,,,
5,Curve10703,,,,,,,0,False,,,,,,,,
5,Curve10704,,,,,,,0,False,,,,,,,,
5,Curve11357,0.4569519516757152,0.0001046146905934,1.265536612914757,1.9381200415078532,-431.9142694713053,0.000814714714895,90,True,0.3790228958942154,0.005767974670290863,0.3877060828562471,24.0,27.5,1.8287739027602212,0.9986124009195076,True
5,Curve11192,0.419917485431499,4.768792867413564e-05,1.333680314922784,2.094965900284613,-530.8841923625115,0.0009883680022646,91,True,0.34680236204038684,0.004758164788013958,0.35434797336928103,27.5,31.0,1.9986806793410044,0.998871826541489,True
