label,gr,exit_lag_rate,N_max,shape
Curve00333,0.21363982332073123,0.3652391187079909,0.3356930808673531,3.872035768408026
Curve02384,0.25446812785606265,0.23909495611031784,0.33512600329515124,3.0671678394161193
Curve02301,0.2667562435834357,0.21180798217048988,0.3327469431834385,2.895981885714066
Curve01154,0.24015467859021017,0.34270947481560293,0.339300637407155,2.98605786128929
Curve01728,0.2644592872630268,0.2436526542750705,0.3372231864087775,2.741276260329963
Curve01400,0.22871935144832486,0.36122909026771977,0.33885110715536637,3.8051675128053164
Curve01563,0.2339319678320066,0.27852539481958477,0.32800757955361065,3.1461543179669147
Curve00990,0.3893058417888385,0.05331929930814059,0.33369672383984866,2.1438553702687515
Curve00415,0.31287655746766363,0.23534675494642193,0.35739580949722904,2.3541295861359863
Curve00497,0.3007442839917539,0.05172178992521062,0.3172335658605474,4.757261037628599
Curve02220,0.2523221703323101,0.2527956285843932,0.3289844892903387,3.1777933983946083
Curve01810,0.2770325227278325,0.22913632737676873,0.3407413452952063,2.358156858025978
Curve00908,0.2645335426245109,0.23071635249656902,0.33670216610252207,2.823253522623761
Curve01319,0.27907275012851274,0.22356545110489273,0.33476445035731955,2.8781142676906377
Curve00251,0.23931445741531673,0.28498043936070566,0.2674704608780065,2.3584097812604297
Curve01892,0.2748133362524279,0.26341277593236934,0.35511549002004317,2.4308406858577114
Curve01072,0.25876187950913737,0.22105963601765444,0.33484554863430677,2.768639694416956
Curve02138,0.3031412139407203,0.173929618830084,0.3447743244985605,2.22947483786616
Curve02548,0.3224951821836584,0.13426027193831108,0.34707243823036404,2.1849044335548875
Curve00662,0.174287124273538,0.12767635404792146,0.36614293274402704,4.126861184821298
Curve00169,0.20197519832935226,0.6250065707933794,0.33406039704570606,3.8577209097141636
Curve02385,0.31312154279252724,0.19043600431089797,0.34815226486936524,2.125820986163019
Curve02302,0.27659298158313445,0.21150549945676347,0.33727917493509446,2.7479428982109946
Curve01482,0.2514459155521949,0.15149961742474116,0.3252663943724731,2.9459705179870217
Curve00744,0.2566328070209375,0.22107160488907268,0.3235967284199955,3.3141743654155875
Curve02056,0.26002005764354214,0.20343168474282813,0.33305515580134,2.93122951375636
Curve00086,0.2162153393964458,0.4383361533696841,0.3355650446154662,3.3921717708466796
Curve01974,0.2280963469442182,0.37409616231828147,0.33202772953409676,2.863530959157012
Curve01646,0.30450024861584263,0.1549411895668009,0.34417807530102557,2.24139069245996
Curve02467,0.2500431676253106,0.26556365606825844,0.33101186826464485,3.0851515360969817
Curve00826,0.25468881605222926,0.23230970998114517,0.33354240203516394,3.154534625095958
Curve01401,0.22615768708998613,0.3437113592153101,0.3292626246544148,3.997908353965495
Curve01238,0.26534884552182286,0.22641509568518228,0.3323308736557661,2.9436629523618345
Curve01155,0.23473675174457134,0.3539368282271166,0.34080516869709915,3.0316556147439866
Curve00581,0.2416818289935585,0.2758518247434538,0.3233832033056442,3.4360919471728653
Curve00991,0.41028756888025564,0.051639412867645534,0.32463962658187906,2.0498648829068715
Curve01975,0.22259981714723812,0.35948908832039667,0.3243949792361191,2.8767829003243963
Curve00252,0.2320106334551892,0.3064520650645332,0.2750360818051125,2.3429269176284757
Curve02057,0.27531488065928006,0.20740543680093787,0.3348095062947204,2.6072559881328186
Curve01729,0.27566047030086865,0.22978695224700643,0.342419248777545,2.569081127803054
Curve01564,0.2650893653746212,0.22750682445187556,0.33698265129337984,2.649613420908608
