condition,gr,exit_lag_rate,N_max
Cond00275,0.20458840380351373,0.07541768078834794,0.1974482940206132
Cond00276,0.2363976343705396,0.07205555515000235,0.19662380341922014
Cond00277,0.26583045393119026,0.05573607509958235,0.20189677102264492
Cond00278,0.23635707299640904,0.06732905391048648,0.20412281342003386
Cond00279,0.23225509522917503,0.07585707611540847,0.19840173838879854
Cond00280,0.23828674315580287,0.06824749740115242,0.20127193555512296
Cond00281,0.12372233592050569,0.1573270236366051,0.1574699985589374
Cond00282,0.25945270575385504,0.001107651856582525,27.256064868521143
Cond00283,0.17211409676165135,0.10850697757583604,0.19666722890100435
Cond00284,0.19395205446041178,0.08803809049007219,0.19768829845364663
Cond00285,0.1881014082548147,0.09572522693421365,0.19471549689618917
Cond00286,0.1715890966942862,0.11046272057649519,0.20245652060507735
Cond00287,0.17042798481070348,0.10557826754727484,0.1976933397120852
Cond00288,0.24673683257914514,0.08748455203366412,0.20103056148053083
Cond00289,0.18490136325157616,0.1030925889180833,0.19946224259180154
Cond00290,0.2585127847233288,0.08164900370774623,0.19911858080359052
Cond00291,2.0375762730346185,0.06997154136831253,4.305591885559812
Cond00292,0.20593875984717772,0.05697946862899686,0.16967741838301784
Cond00293,0.11201613185947307,0.13472435389763038,0.1564999703824835
Cond00294,0.17529286483547268,0.08702007990772041,0.16633041877164018
Cond00295,0.16454877804472848,0.09408613117216763,0.17411881085910808
Cond00296,0.14306251138499892,0.12570061679061442,0.17620344097617216
Cond00297,0.2086613126781309,0.06809290513922125,0.177410887363466
Cond00298,0.1710278259714172,0.08600941297532978,0.18348979887133554
Cond00299,0.2275595089589707,0.06527141437977908,0.1982005384834424
Cond00300,0.22765322037884106,0.07001504519675114,0.19579831679757798
Cond00301,0.26430439251804344,0.05370016312356966,0.19595017425945685
Cond00302,0.26914031055904397,0.0620951543800364,0.19715152761596222
Cond00303,0.2108834076297,0.06768994747261563,0.19370875465354087
Cond00304,0.6035223883794893,0.059105545603759406,0.1952385229618199
Cond00305,0.21820649967657485,0.06900574204077388,0.19407741107414034
Cond00306,0.21859788144637882,0.07243400908816995,0.19832377926440936
Cond00307,0.24625514926914704,0.05039515198977223,0.19460366647101193
Cond00308,0.2557497241093688,0.06406752551395838,0.19679103604205503
Cond00309,0.23500143081695427,0.05758316907503688,0.19530841377114178
Cond00310,0.2746790572103376,0.04558264505202736,0.19741864200786596
Cond00311,0.26953990609870165,0.0416877945460643,0.19546620351735045
Cond00312,0.467104433532009,0.04466108986379025,0.19899742967981032
Cond00313,0.3020947985547731,0.06372335188213533,0.19658864887069205
Cond00314,0.17787107202885277,0.02474656923980719,0.18533080567684382
Cond00315,0.2059768589948188,0.07318987400166475,0.19891710098943718
Cond00316,0.21590155213516965,0.08388889220893364,0.19755836526911144
Cond00317,0.24829653848159466,0.05928353938819765,0.19647069937130057
Cond00318,0.1794523692983191,0.09410072612982152,0.1995303878168818
Cond00319,0.2359183485277091,0.0648366111574801,0.20081798126190906
Cond00320,0.19204413328718462,0.11860328129343561,0.20295213220533265
Cond00321,0.22139240931778795,0.08362396908436992,0.19931100493066317
Cond00322,0.21155164305891178,0.09163632310788075,0.20021467836149426
Cond00323,0.1838182529987657,0.09860927871339428,0.1978897540254326
Cond00324,0.181014815764536,0.09004420674956023,0.19602198349472152
Cond00325,0.17744200124130952,0.09539056452853596,0.1974572099256426
Cond00326,0.21024430861926321,0.08048281276035042,0.19683336684582342
Cond00327,0.20423035968736641,0.08883648620187654,0.19812978138155202
Cond00328,0.16358951556175594,0.11367824864616664,0.19813787985963874
Cond00329,0.18489543631134364,0.08985498537014144,0.1952727769734248
Cond00330,0.15446248022500214,0.13499182989453293,0.19754518434752852
Cond00331,1.585167825882543,0.07431455669852972,0.20078990037325564
Cond00332,0.20930022979632257,0.09207932410042095,0.2046407554044749
Cond00333,1.6910340920093632,0.057933332751985894,0.19904482769019669
Cond00334,0.2633416055663631,0.043352175210741375,0.19751849014670245
Cond00335,0.2797244927897068,0.04109693412512656,0.19895489806380973
Cond00336,0.2654323295037699,0.051842019290985496,0.19704988704030102
Cond00337,0.28202178963403707,0.11795171892383904,0.20369227692645023
Cond00338,0.26630300140726176,0.04784398232451911,0.19891553172059379
Cond00339,0.15542856818628292,0.12475109574702443,0.19656637059338056
Cond00340,0.17835861809859102,0.09126449487116911,0.19987837363786565
Cond00341,1.144298807694479,0.12234326018326452,0.20611629790098904
Cond00342,0.16270303366574745,0.10314795027871616,0.1947384473785039
Cond00343,0.15364820167490537,0.12379320947166117,0.1971170897520043
Cond00344,0.1550773259747017,0.11524095665926347,0.19758079817167806
Cond00345,0.3392462167575132,0.015499423460973598,0.19089634788618437
Cond00346,0.4430293626677008,9.76419812347086e-05,16.801159629363163
Cond00347,0.15742988510924777,0.11157308113698476,0.1960078811992552
Cond00348,0.17080376527266689,0.10114971114554706,0.19704063912437594
Cond00349,0.20350525689106608,0.0979117687062449,0.19391689381128618
Cond00350,0.17546261086585557,0.1033485266662452,0.1968419411302652
Cond00351,0.18242709764628814,0.13454651277091,0.19803489147846196
Cond00352,0.6280180637246816,0.07500034726184723,0.20225443201523846
Cond00353,0.19989447648634728,0.09610098643886138,0.2068015576416417
Cond00354,0.5716028896677483,0.0926746407607123,0.17484653688727925
Cond00355,3.0969003459283906,4.18794700049459,5.091156440428106
Cond00356,0.25450100772649636,0.23782205979759835,0.33363558600325377
Cond00357,0.2953938287180917,0.17444898624481917,0.3390054568276539
Cond00358,0.2393597884653489,0.15530888581476945,0.30850047247691226
Cond00359,0.2747196651270276,0.1131673189091374,0.3519308643307906
Cond00360,0.27869262924871774,0.18590191335873854,0.33744109539781975
Cond00361,0.2727862152298773,0.1991668982155586,0.33806656497899545
Cond00362,0.278726299025011,0.17593221811220902,0.3373173258095231
Cond00363,0.27034980411915654,0.16861815547635087,0.3447344093689653
Cond00364,0.2998958394434278,0.19303098944738717,0.32985688581520084
Cond00365,0.313174785886017,0.17334870738005115,0.3427147645408765
